127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000217
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000207
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000250
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000225
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000214
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000230
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000212
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000225
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000274
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000200
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000250
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000239
127.0.0.1, 2014-06-06 12:18:13, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000163
127.0.0.1, 2014-06-06 12:19:13, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000332
127.0.0.1, 2014-06-06 12:20:21, GET, /welcome/stream, HTTP/1.1, 200, 0.042280
127.0.0.1, 2014-06-06 12:20:21, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000268
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000264
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000431
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000863
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000164
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000160
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000284
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000224
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000762
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000450
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000957
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001665
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000253
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000219
127.0.0.1, 2014-06-06 12:20:22, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000224
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/stream, HTTP/1.1, 200, 0.027327
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000266
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000187
127.0.0.1, 2014-06-06 12:20:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000177
